x,y,z
-0.104830165,-0.099666827,0.081568861
-0.15667353,-0.104558107,0.127567226
-0.205645176,-0.116826052,0.172599962
-0.254417609,-0.131591659,0.154062434
-0.198826582,-0.114305009,0.076024671
-0.075370846,-0.032672436,0.000604396
0.005615648,0.026073183,0.001603344
0.033686289,0.035116322,0.044386254
0.045452824,0.042764206,0.041138066
0.073338244,0.06003975,-0.030530747
0.052692128,0.056858198,-0.084891283
0.015345892,0.053320087,-0.122748428
-0.001623108,0.053761985,-0.102556704
-0.073550572,0.002178513,0.011411621
-0.22220691,-0.032058103,0.161685769
-0.312153175,-0.072492405,0.248041864
-0.295853453,-0.052386605,0.179279293
-0.203654221,-0.009173487,0.058877721
-0.08448683,0.045262453,-0.125160165
-0.008828765,0.082056352,-0.295993702
0.018511041,0.105977326,-0.321849443
0.011538645,0.049877837,-0.208975343
0.020402663,0.000663432,-0.008997545
0.031833574,-0.025958617,0.205879131
0.032878918,-0.023831542,0.304589681
0.007040164,-0.035312136,0.305109905
0.028124417,-0.013897592,0.24814474
0.108690603,0.01808803,0.142885207
0.132962875,0.052696986,0.050444239
0.190142085,0.092617493,-0.033016134
0.269857244,0.095208679,-0.159707162
0.304320983,0.111647188,-0.159148944
0.274747354,0.097895142,-0.040343701
0.149004347,0.059527709,0.069365797
0.000779533,0.030000586,0.129876672
-0.144862608,0.054904141,0.10043372
-0.219850592,0.098158176,0.026526772
-0.227230547,0.105703185,-0.03484335
-0.169866774,0.071360186,-0.052104281
-0.107447617,0.067306527,-0.005273556
-0.036973713,0.090415015,0.046406946
0.053975372,0.097592359,0.004183423
0.129559898,0.1266279,0.003592472
0.130735591,0.162037651,0.052010758
0.129591316,0.193127201,0.084472765
0.114723344,0.185784437,0.086884503
0.029251996,0.137849551,0.080822426
-0.060370736,0.07490005,0.092872345
-0.101931521,-0.007778817,0.098400753
-0.133243811,-0.073728669,0.058833297
-0.203096295,-0.150996617,0.007930793
-0.254641737,-0.184053668,-0.086042207
-0.255822764,-0.123830962,-0.161837745
-0.183076713,-0.046435588,-0.160932905
-0.124546198,0.010235563,-0.083345223
-0.094446097,0.036736032,-0.011697452
-0.082604159,0.013818682,0.03717267
-0.093566538,0.016113515,0.028263387
-0.048531647,0.023941432,-0.011543138
0.017134346,0.025820085,-0.036722003
0.102144981,0.059468673,-0.047930795
0.150896335,0.075415014,-0.084275197
0.185840186,0.078133041,-0.128507137
0.177560762,0.093571433,-0.099250063
0.152108195,0.065960373,-0.053823945
0.090708481,0.027072131,-0.023423546
0.063787595,-0.003870704,-0.013629881
0.050719841,-0.020952187,-0.009687281
-0.014472835,-0.045188218,-0.016820786
-0.083960067,-0.051118193,-0.024031448
-0.139864836,-0.053885904,-0.093626963
-0.122769544,-0.00984218,-0.214219674
-0.104908783,0.018438743,-0.278212546
-0.074202898,0.039631753,-0.328224239
-0.046417577,0.031826048,-0.343146498
0.001140658,0.045357145,-0.333124286
0.066079579,0.065097034,-0.278803497
0.100833387,0.069286887,-0.160900172
0.078674601,0.085551208,0.006344401
0.054301645,0.079065353,0.150012282
0.030639103,0.089781393,0.219714764
0.076526446,0.026741876,0.21673721
0.102566056,-0.007058686,0.176797998
0.141833579,0.004422493,0.087564302
0.138044964,0.005202829,-0.058830375
0.117672988,0.016873393,-0.149851539
0.116343237,0.02602233,-0.125201082
0.099117559,0.05559563,-0.027677111
0.030413076,0.063996964,0.097486561
-0.040189424,0.036896191,0.167108379
-0.135931917,-0.009887772,0.158026662
-0.221792009,-0.059371057,0.114987146
-0.258237716,-0.072595281,0.03797288
-0.277538263,-0.04820552,-0.025592706
-0.187800015,0.012405893,-0.148558576
-0.070580288,0.097473701,-0.26146424
0.054574946,0.123691262,-0.284407309
0.128045365,0.148401924,-0.166405199
0.128870929,0.155816585,0.037015433
0.111347365,0.08494389,0.153651516
0.025496078,-0.032205403,0.201006556
-0.089571952,-0.081314594,0.218387315
-0.1461011,-0.091689273,0.116159113
-0.168100312,-0.112898649,-0.017346272
-0.145780052,-0.078944357,-0.138306062
-0.085972502,-0.013093875,-0.209851542
0.000966872,0.028403088,-0.231918412
0.088251663,0.04252689,-0.186699799
0.098690749,0.041877486,-0.042070378
0.04105879,0.025905426,0.039973698
-0.017423465,0.027322891,-0.005434885
